slatitude,slongitude,elatitude,elongitude
52.2296756,21.0122287,48.5734053,7.752111299999999
43.124228,5.928,36.753768,3.0587561
40.014561,-74.3112574,38.6270025,-90.19940419999999
48.856614,2.3522219,50.0755381,14.4378005
40.7127837,-74.0059413,48.856614,2.3522219
51.376165,-0.098234,52.3105386,4.7682744
52.52000659999999,13.404954,48.1351253,11.5819806
45.56450539999999,8.0568142,42.6525793,-73.7562317
48.4284207,-123.3656444,47.6062095,-122.3320708
41.49932,-81.6943605,41.8781136,-87.6297982
41.49932,-81.6943605,38.2526647,-85.7584557
29.4241219,-98.49362819999999,35.2219971,-101.8312969
41.49932,-81.6943605,41.8781136,-87.6297982
34.0522342,-118.2436849,33.4483771,-112.0740373
32.715738,-117.1610838,33.4483771,-112.0740373
20.01693,-75.8301537,23.1135925,-82.3665956
44.9537029,-93.0899578,44.977753,-93.2650108
35.0853336,-106.6055534,34.0522342,-118.2436849
32.5149469,-117.0382471,31.3403775,-110.9342532
41.49932,-81.6943605,38.2526647,-85.7584557
19.4326077,-99.133208,31.6903638,-106.4245478
52.3702157,4.895167900000001,51.376165,-0.098234
